Question	Category	Branching	Branching Option	Skippable	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6
Do you own or regularly use a car?	Transportation	2	Yes	False	Yes	No				
What type of car do you drive?	Transportation	0		True	Gasoline	Diesel	Hybrid	Electric	I don't know	
How many kilometers/miles do you drive per year?	Transportation	0		True	"Up to 5,000 km (3,000 miles)"	"5,000-10,000 km (3,000-6,000 miles)"	"10,000-15,000 km (6,000-9,000 miles)"	"15,000-20,000 km (9,000-12,000 miles)"	"20,000-25,000 km (12,000-15,000 miles)"	"More than 25,000 km (15,000 miles)"
"How often do you use public transportation (bus, train, subway)?"	Transportation	0		False	Never	Occasionally (1-2 times/week)	Frequently (3-4 times/week)	Always (5+ times/week)		
"How much time do you spend on public transport per week (bus, train, subway)?"	Transportation	0		False	Under 1 hour	1-3 hours	3-5 hours	5-10 hours	More than 10 hours	
"How many short-haul flights (less than 1,500 km / 932 miles) have you taken in the past year?"	Transportation	0		False	None	1-2 flights	3-5 flights	6-10 flights	More than 10 flights	
"How many long-haul flights (more than 1,500 km / 932 miles) have you taken in the past year?"	Transportation	0		False	None	1-2 flights	3-5 flights	6-10 flights	More than 10 flights	
What best describes your diet?	Food	4	Meat-based (eat all types of animal products)	False	Vegetarian	Vegan	Pescatarian (fish/seafood)	Meat-based (eat all types of animal products)		
How often do you eat beef?	Food	0		True	Daily	Frequently (3-5 times/week)	Occasionally (1-2 times/week)	Never		
How often do you eat pork?	Food	0		True	Daily	Frequently (3-5 times/week)	Occasionally (1-2 times/week)	Never		
How often do you eat chicken?	Food	0		True	Daily	Frequently (3-5 times/week)	Occasionally (1-2 times/week)	Never		
How often do you eat fish/seafood?	Food	0		True	Daily	Frequently (3-5 times/week)	Occasionally (1-2 times/week)	Never		
How often do you waste food or throw away uneaten leftovers?	Food	0		False	Never	Rarely	Occasionally	Frequently		
What type of home do you live in?	Housing	0		False	Detached house	Semi-detached house	Townhouse	Condo/Apartment	Other	
How many people live in your household?	Housing	0		False	1	2	3-4	5 or more		
What is the size of your home?	Housing	0		False	Under 1000 sq. ft.	1000-2000 sq. ft.	Over 2000 sq. ft.			
What type of energy do you use to heat your home?	Housing	0		False	Natural Gas	Electricity	Oil	Propane	Wood	
What is your average monthly electricity bill?	Housing	0		False	Under $50	$50-$100	$100-$150	$150-$200	Over $200	
What type of energy do you use to heat water in your home?	Housing	0		False	Natural Gas	Electricity	Oil	Propane	Solar	
"Do you use any renewable energy sources for electricity or heating (e.g., solar, wind)?"	Housing	0		False	"Yes, primarily (more than 50% of energy use)"	"Yes, partially (less than 50% of energy use)"	No			
How often do you buy new clothes?	Consumption	0		False	Monthly	Quarterly	Annually	Rarely		
Do you buy second-hand or eco-friendly products?	Consumption	0		False	"Yes, regularly"	"Yes, occasionally"	No			
"How many electronic devices (phones, laptops, etc.) have you purchased in the past year?"	Consumption	0		False	None	1	2	3	4 or more	
How often do you recycle?	Consumption	0		False	Never	Occasionally	Frequently	Always		
